X,Z
443.947616800378,-19.1363850873053
426.533742331288,-22.9589428975932
399.775837659273,-28.0556866446437
376.840490797546,-34.0018876828693
352.630957999056,-40.7975460122699
333.518168947617,-47.1684756960831
311.857008022652,-56.9372345445965
291.894761680038,-62.8834355828221
274.905615856536,-297.333647947145
277.029259084474,-71.3780084945729
260.46484190656,-78.5983954695611
242.201510146295,-84.9693251533742
226.486550259556,-93.0391694195375
209.497404436055,-102.807928268051
193.782444549316,-113.850873053327
282.975460122699,-299.032562529495
